id,network,station,latitude,longitude,gapsperday,peravailability,nlnm1,nlnmp25,nlnm8,nlnm22,nlnm110,meanp25,stdp25,mc100km,aggregate
447,OK,CHOK,35.561127,-97.061303,0.178506375227687,98.8770938069217,32.9406711639546,42.8937702537925,22.2142819387424,42.1947607016277,62.161367383076,-123.963385398282,8.4890875830066,2.76,77.5399362081049
448,OK,CROK,36.504737,-97.983354,1.29223744292237,97.8682641165756,36.0906144134526,54.1623442197876,20.6593792809512,28.6951268933912,43.4949648379031,-112.694811432287,10.2733886542061,3.26,78.1899809269976
449,OK,CSTR,35.645556,-98.688889,0.285429141716567,96.3241461988304,1.53830098766622,16.5151222714234,-5.00486184387351,14.0669170179032,34.7157676441742,-150.342033380651,4.77946584512717,1.66,95.5731892038548
450,OK,DEOK,35.842652,-96.498262,0.175824175824176,98.1358041894353,31.3363044371257,45.5492011178674,21.23086393993,44.8308479892403,65.1355194759296,-121.307954534207,5.32078331116144,2.67,76.7221441816271
451,OK,ELIS,36.065254,-99.418043,0.231722428748451,99.1313296158612,31.8265023121636,55.331364858881,22.7809095835167,46.5179708323173,67.0461051336093,-111.525790793194,5.29138592016268,3.01,74.5845948505634
452,OK,FNO,35.25738,-97.40115,0.317850637522769,98.7894371584699,32.6592358301021,44.2419303723131,20.7089148100749,23.5044782094297,39.27158422929,-122.615225279762,7.7675345437521,2.76,83.8563263738062
453,OK,GORE,36.785632,-97.947062,21.8832271762208,42.1177245179063,0.244283186136092,6.2547504605867,-26.4544671018562,-8.37207836769589,-3.23008491688363,-160.602405191488,3.38751169616636,1.24,77.4453892168438
454,OK,HTCH,36.017058,-98.332692,0.246464646464646,58.7222201946472,31.4250538097212,42.3163034969212,23.2678263093712,45.8595335490979,66.9536827433324,-124.540852155153,5.43856055690169,2.56,70.5417908631983
456,OK,LOOK,33.992427,-97.17999,0.182149362477231,99.1713123861567,31.4152706081851,42.8622339144735,23.8115999096096,43.236986022479,63.4603541453072,-123.994921737601,4.64075899489276,2.54,77.2501650056676
459,OK,MOOR,35.341792,-97.65922,0.155555555555556,97.7455333333333,34.5703063727833,46.5423744096284,29.2577288042512,46.2945218825158,67.0810885119506,-120.314781242446,4.5473215057786,2.66,74.0248177589846
460,OK,NOKA,36.63468,-98.93193,0.254901960784314,83.2332830188679,40.1376820565068,55.3150040225996,20.3334890172567,44.5086447872524,64.913538005386,-111.542151629475,5.72595231024806,3.03,71.6436922626541
461,OK,OKCFA,35.41531,-97.4514,0.17825311942959,50.544703601108,39.8597973063798,53.7915083801971,22.6127839966603,43.3153681935171,62.4394800352713,-113.065647271878,4.75274940437777,2.92,67.5587053249569
462,OK,QUOK,36.1714,-96.708,0.34337899543379,98.5982194899818,32.1447291034477,52.1194169048473,21.7865879810185,47.6823034490741,68.0089377310803,-114.737738747227,5.47877652300312,2.9,74.4400309001991
463,OK,RLOK,36.167553,-95.026798,0.189435336976321,99.1245036429872,29.0237257654664,44.6745081213554,20.0480232949437,47.0087399869857,67.0563147643326,-122.182647530719,6.56342005545513,2.71,76.9690868069828
464,OK,U32A,36.3795,-99.0014,0.167630057803468,92.401776867031,35.413366930278,45.9206045850813,22.2215220215708,23.9224731544145,30.1901331664718,-120.936551066993,7.78798936613074,2.82,83.4698887915524
465,OK,W35A,35.1527,-96.8745,1.58139534883721,31.4459499089253,28.6018019789156,38.517446901903,24.5725308571176,26.2378716820955,36.8308588697088,-128.339708750172,6.23692416535904,2.48,72.2815079078215
466,OK,X34A,34.60102,-97.83256,0.176255707762557,98.392704007286,28.9606145704082,40.7545701744227,24.6670398499589,43.7334688373365,63.9231893906032,-126.102585477652,4.94471095492828,2.48,77.6185727195558
467,OK,X37A,34.5892,-95.3713,0.115068493150685,99.2338624772313,20.7511121834511,25.5867298107379,19.728980829847,18.1657893735783,23.6944196814586,-141.270425841337,6.23120890988811,2.04,92.2639090851084
468,PE,IUPA,40.60667,-79.16967,0.25531914893617,95.7746527777778,26.3658093837966,34.1525191764123,28.05567841714,37.651860030313,55.5566341380282,-132.704636475662,4.86066070840899,2.25,80.096167133746
469,PE,PABE,41.034715,-77.65159,0.793906810035842,88.3387178217822,25.3795046553286,27.8494890865584,19.6893621863795,24.1754511393146,42.528321091636,-139.007666565516,8.79635445290618,2.26,84.467528562177
470,PE,PABK,40.26652,-78.58368,0.274509803921569,92.0972324159022,34.7853210598814,34.9107396729476,33.6878663699683,34.4324334681781,46.6051186375427,-131.946415979127,5.48420698079037,2.31,78.6015051533708
471,PE,PACF,41.332515,-79.208278,1.68122270742358,98.8174439592431,24.9486070527995,42.6756164087976,19.9306957425479,26.1848721331483,49.5546265870981,-124.181539243277,6.29910298010392,2.62,80.8690529210608
472,PE,PACH,41.75666,-79.17143,0.528455284552846,97.3953310185185,27.6611466780022,41.059694241663,19.6022465694683,29.1933992196648,52.2945841517534,-125.797461410412,5.06285773547523,2.5,81.9570654671391
473,PE,PACW,39.995013,-77.924788,0.411347517730496,98.2217711864407,25.3794954843752,29.8429931093083,18.672874704461,30.5600166554457,49.1724681082835,-137.014162542766,5.1453906959319,2.13,84.5836465458117
474,PE,PAGS,40.23,-76.72,41.1752873563218,92.5689080145719,33.3040492905219,51.2312648846169,25.0583863516028,32.1785936074329,43.9591970691417,-115.625890767458,3.24421727057116,2.75,65.4581581701113
475,PE,PAHR,41.02413,-75.70987,0.287769784172662,97.9733333333333,28.6435473174585,33.9708462198543,27.1594778386966,28.9247785917132,41.4990670797472,-132.88630943222,4.8620313097181,2.25,83.5694089348251
476,PE,PAKC,41.37471,-77.93253,0.446327683615819,96.1975214384509,24.1084860854961,35.2675076852646,19.9946300897705,24.6732486025407,46.1601275027489,-131.58964796681,4.35428644113157,2.26,85.0028590047594
477,PE,PAKS,40.376097,-79.379512,0.415841584158416,99.136800330033,25.7717783682404,32.0271766887031,21.1412036391358,23.7510913503811,39.9333859105828,-134.829978963372,3.70018792205166,2.12,86.4207347558797
478,PE,PALB,40.45891,-77.16783,0.935129740518962,90.6291621129326,24.1315596019481,29.4495448682631,20.251762521165,23.571288253132,41.5589771265298,-137.407610783811,6.12112723254228,2.17,84.68868266914
479,PE,PALR,41.725095,-77.760062,0.443579766536965,97.8840527670528,28.047656906676,36.1129560594634,20.8984002872695,28.1684104347705,46.6815038407642,-130.744199592611,6.46962963584592,2.41,83.5197111116886
480,PE,PAMP,41.8059,-76.66889,0.495867768595041,94.9879986449865,27.5594173717791,37.2610001349602,15.8982539920756,27.3474102932142,45.3334112798007,-129.596155517114,10.191482603876,2.66,84.137410916852
481,PE,PAMR,40.9398,-80.0973,2.00959232613909,97.8852624113475,27.9301311088375,43.4929346097026,23.2629585980934,25.7986516620462,41.57110885104,-123.364221042372,8.31551420823495,2.77,79.969733221459
482,PE,PAOC,41.51596,-79.68109,0.408,87.499756501182,25.7989577018579,39.2491652365558,23.3773719079845,26.4881361322272,39.5555789083664,-127.607990415519,5.99907649173558,2.49,83.0688752868446
483,PE,PAPL,41.299015,-75.0214,0.379767827529022,91.9690532081377,23.7965878054264,26.0741311613941,19.752041856748,30.0750250643032,49.7123033074584,-140.783024490681,3.96104873982258,1.93,84.3743627325453
484,PE,PARS,39.88632,-80.44522,0.738186462324393,96.1236832694764,29.2910780424889,41.4239738360134,19.4295516852577,26.2567769419085,43.24110191104,-125.433181816061,8.62314217629689,2.71,82.7841792914331
485,PE,PASH,40.026,-78.63569,0.437007874015748,99.0687952755906,25.755857661693,29.3170156109451,18.3910215490459,32.0582037129494,58.4152027945308,-137.54014004113,7.54104591509138,2.24,83.0939829213838
486,PE,PSAL,40.5437,-78.4145,0.758547008547009,83.5972896174863,27.3182818523595,37.6617004777526,20.3204468544164,27.8915831245803,44.5263941824027,-129.195455174322,4.2551029967514,2.34,81.2097277074811
487,PE,PSBK,40.36321,-75.9738,0.513450292397661,87.0641760416667,26.6129994879416,54.155237950014,18.8258783579093,28.6762566616453,47.6734513814078,-112.701917702061,3.84244215459227,2.88,79.9681662387792
488,PE,PSBV,40.67995,-80.2975,0.649546827794562,95.6465982404692,30.4606721637367,49.5026407016204,20.5558422711139,23.7017278198964,40.1981729198639,-117.354514950454,3.61004550120056,2.71,82.3341189179756
489,PE,PSDB,41.13,-78.75,8.73639006342495,96.5626791095311,30.665831343521,46.3955004579929,27.5783397826336,32.3749201482121,52.2675167781516,-120.461655194082,4.81621244142312,2.67,71.3425218871051
490,PE,PSMA,39.84301,-77.5434,0.400215749730313,97.4673697749196,41.016472988939,57.4116873850667,21.8895934344603,42.327151680583,64.2253407312769,-109.445468267008,8.36486896001965,3.26,73.1240256245049
491,PE,PSSH,41.235,-80.5076,3.69461077844311,89.7123624772313,37.0097762977148,66.6417564055492,20.2665699114237,30.2034812015174,49.6216700461966,-100.215399246525,5.23977243484271,3.41,69.0013251682765
492,PE,PSSK,40.642587,-76.164978,0.654320987654321,83.6079800796813,25.034735243858,38.6390649881043,18.9421310169642,25.7310020133629,41.9708957290227,-128.21809066397,3.07353151638661,2.31,82.749930733121
493,PE,PSUB,39.93,-75.45,4.63322983152205,87.3594496336996,31.9210339149855,41.4442044875376,22.4578884262523,35.6668139690717,49.7387347420185,-125.412951164537,8.59161493419521,2.71,69.5264220042007
494,PE,PSUF,39.9442,-79.6588,0.764227642276423,89.7826101851852,29.2242704204945,40.3667346673355,22.3292640026322,32.1439593353989,49.9842459904426,-126.490420984739,6.24705005676838,2.54,79.4977931759696
495,PE,PSWB,41.31,-76.02,0.416416416416416,90.1605610200364,27.2636270715186,41.7060948704121,20.6232371226475,26.8506964355076,49.019427659367,-125.151060781662,4.88712952718236,2.51,81.8620748981449
496,PE,UPAO,40.48,-80.02,38.0427112349118,94.5946775956284,37.0322550205802,52.8583184208957,26.2518830008844,29.5534640244632,38.205906979821,-113.998837231179,3.42777991185781,2.81,65.8591721971196
497,PE,WRPS,40.79,-77.87,54.9285281385281,90.7272698757235,32.0140897313471,46.5555823491837,25.3134927995496,32.1124742479694,41.269747602209,-120.301573302891,3.140813243226,2.58,69.0323604756125
528,PN,PPNAF,38.333,-85.931,2.865005192108,95.2206615226337,50.8799140372289,63.8307110173289,37.3695811944609,56.7552851110885,80.476633867786,-103.026444634746,4.55507832337381,3.27,57.2172522776717
545,PO,ALGO,45.9544,-78.0509,88.9833333333333,52.7428562271062,16.4529645668942,36.6119891070821,12.9995481206676,22.862506881442,43.0657864399911,-130.245166544992,6.27936994730998,2.42,68.7244078932717
561,PO,LATQ,47.3835,-72.7819,90.505081300813,77.4487068493151,27.1714496618263,47.0116323350625,16.401756329561,27.0897786528285,41.3479982708325,-119.845523317012,7.82270960313605,2.86,67.7977320460188
576,SS,DAL,32.8464,-96.7843,107.690196078431,70.1246320582878,31.0067615223738,38.7980967604149,8.14010507678379,25.9933135150377,35.7578820698882,-128.05905889166,24.3549196412941,3.55,69.4142643718657
578,SS,NCCU,35.976167,-78.903333,1.89250493096647,90.3320209471767,42.8094542869661,58.2118602066417,28.5996951813985,59.3588357335619,84.1947287040956,-108.645295445433,3.72310985221806,3.02,61.4876389296914
579,TA,435B,30.7827,-97.585,0.0136986301369863,99.2398224043716,33.3161121544678,39.4886438242649,19.1986795916118,21.7866251282979,28.0517980542482,-127.36851182781,11.9780797689905,2.84,87.2175718236179
580,TA,833A,28.3236,-99.3939,0.0767123287671233,99.4214617486339,26.125953105684,27.9967822169733,20.1881503947229,19.930819179799,26.7815357638298,-138.860373435101,3.44993080039646,1.97,90.2194638851974
581,TA,ABTX,32.6238,-99.6431,0.0222841225626741,97.2974316939891,25.5645233177538,38.0429281065246,17.4848890413693,22.8431405738694,29.9919367774968,-128.81422754555,8.03144643693926,2.56,88.4492100877598
582,TA,BGNE,41.4083,-98.1502,0.00409836065573771,99.9966598360656,41.3260283251525,47.0598295175166,21.0269570048188,25.0924015018337,31.7149936114104,-119.797326134558,6.18941508856476,2.77,83.3250513958731
583,TA,KMSC,35.142,-81.3333,0.00136612021857923,99.9968155737705,24.4268838458284,46.5253265043011,16.9168535284788,24.0214407608345,34.3112324208512,-120.331829147773,4.01088219260955,2.63,87.2950746998219
584,TA,L44A,42.1782,-87.9119,0.00409836065573771,99.996674863388,38.9200641446309,52.3480627171446,20.5754724390706,23.8484892952427,29.8258770358184,-114.50909293493,4.70529824361334,2.87,83.5192163259969
585,TA,L61B,42.4498,-72.6802,0.532967032967033,90.3336029143898,26.9793085887447,26.0064003457509,22.8063494029614,22.3478139136733,30.1575054811287,-140.850755306324,5.7422558968042,2.03,86.7920369058434
586,TA,M53A,41.4393,-80.675,0.00409836065573771,99.9966653005465,30.938917330307,38.66644744954,20.6284980078029,20.7296852802057,30.704287491967,-128.190708202535,4.95485115759073,2.41,87.3812232046016
587,TA,M54A,41.5079,-79.6647,0.0141509433962264,96.7244266055046,27.6650522423742,29.0626226684152,25.9464323350609,23.0332186112128,27.4839195131414,-137.794532983659,3.32833830656399,2.0,87.8796039563916
588,TA,M65A,41.562,-70.6466,0.0300859598853868,94.8087877959927,57.1062041569416,53.0777040740826,10.1520649253097,14.1150197908503,22.6989468524567,-113.779451577992,6.7120885529479,3.01,83.2862411799936
589,TA,MDND,47.8481,-99.6029,0.00409836065573771,99.9953661202186,37.8417423409647,40.1332790679565,24.3288090181505,22.7402719045,28.2911572357952,-126.723876584118,5.73428208120058,2.51,85.1210015673863
590,TA,N54A,40.9617,-79.9892,0.0181818181818182,99.6252060606061,27.1732150919849,29.486271377542,25.733356729572,24.0800114516167,31.6550966921888,-137.370884274533,3.73599989219641,2.04,87.7028204149732
591,TA,N59A,40.9168,-75.7703,0.0136363636363636,99.6353545454545,24.4712898380875,24.1589741720306,24.8618740980952,24.1070830603883,30.4227077925187,-142.698181480044,4.12141788498981,1.88,89.229577619727
593,TA,O48B,40.2571,-85.1553,0.00868200404774689,97.8308704225352,26.8265675199511,34.9362849286911,19.1069003891671,20.4741527534696,29.5071878432863,-131.920870723384,3.63345844466185,2.21,88.8248718520781
594,TA,O53A,40.2493,-81.2129,0.0136612021857924,99.9417918943534,28.7530730021866,29.472757307396,20.6721367039145,19.8676852704038,29.6233438354855,-137.384398344679,3.75916299894341,2.04,89.2197035893412
595,TA,O56A,40.2683,-78.5663,0.0285714285714286,96.2437599388379,24.8643766004459,24.1016861764642,25.9124768897547,22.052407222574,29.5085791244847,-142.75546947561,2.58178046852325,1.79,89.0058591459664
596,TA,P49A,39.5342,-84.7164,0.00819672131147541,99.980628870674,27.7672418648701,35.9696884177411,20.0492062027705,20.9513985479285,31.2576285303171,-130.887467234334,4.15290944981224,2.28,88.4381845847535
597,TA,P52A,39.6337,-82.1325,0.00819672131147541,99.9443761384335,28.1034518432144,33.2125421377011,19.6707664045247,19.4174921440799,28.9712034973685,-133.644613514374,3.88237600930858,2.17,89.2686117408124
598,TA,P60A,39.8113,-75.6358,0.03125,93.0820588235294,29.9371957405959,30.2052220277182,25.8487900481519,25.37492746631,31.9883822377714,-136.651933624356,2.87190149084412,2.01,85.6896941977944
599,TA,Q61A,38.8799,-75.3256,0.03125,93.0820588235294,56.5014866517219,51.3209736507314,36.0965654007375,27.6818821711828,34.8668801110644,-115.536182001343,5.07239649537819,2.85,75.2195050012286
600,TA,SFIN,40.379,-87.0967,0.00819672131147541,99.9806539162113,28.6948585175717,38.1631715691989,19.5979134441075,21.1763037424315,31.0027907414559,-128.693984082876,5.01308272248471,2.4,87.9311220883442
601,TA,SPMN,45.2246,-92.8037,0.00819672131147541,99.9807058287796,31.1263180904529,47.7738803231462,17.9985607297039,23.9589460866285,32.7261105823566,-119.083275328928,5.6800394743064,2.76,85.8780732380215
602,TA,SUSD,44.4429,-98.9556,0.00819672131147541,99.9806498178506,37.5859768347446,39.8462459580708,20.2410133966212,24.8784704921337,33.6985778548561,-127.010909694004,6.69537273396856,2.55,84.9015252760161
603,TA,TIGA,31.4389,-83.5898,0.0109289617486339,99.9806115664845,37.9893115214899,43.7676960645326,23.6887526754861,21.698190929899,29.6846931893824,-123.089459587542,6.84621720305392,2.69,84.7077451843362
604,TA,TUL1,35.9104,-95.7919,0.0163934426229508,99.9803592896175,27.9618791847635,37.8969245835332,18.1320064314366,19.1655783049945,26.8414837671791,-128.960231068541,6.83984394422681,2.49,89.2643821229696
605,TA,U40A,36.3563,-92.8535,0.0173410404624277,92.7492921146953,21.2906107656958,36.1109220489997,18.1873514037401,21.0400642760934,25.4422135900675,-130.746233603075,5.38049158411503,2.35,89.6093530309411
606,TA,W39A,35.196,-93.784,0.0244565217391304,97.2803874113475,19.5223931137464,28.3679735697177,21.1062214660699,21.0803674905744,28.6926930796905,-138.489182082357,5.45527242954824,2.09,90.6389218075031
607,TA,W41B,35.1736,-92.2479,0.00819672131147541,97.1738510638298,19.8186224096339,21.7155777824267,19.5485250362036,21.7292938206578,31.710104281357,-145.141577869648,5.59522708993882,1.88,91.2104638041069
608,TA,WHTX,31.9913,-97.4561,0.00409836065573771,99.9997030965392,29.6577266741817,31.1197268647243,17.0566471086827,22.5373433044664,31.8442469928002,-135.73742878735,4.46903441272854,2.13,88.8217613134186
609,TA,X40A,34.4873,-92.8342,0.00862068965517241,93.318288530466,20.9195915680902,31.3817552762116,17.4740098152567,21.0522515568459,28.9482499572321,-135.475400375863,4.3991296690562,2.14,90.0254473961283
610,TA,X43A,34.518,-90.8812,0.282967032967033,87.1878005319149,46.7461622519952,47.7026623325822,22.0694898380363,45.6552317218557,55.3392178574387,-119.154493319492,29.7224845063474,4.29,72.6584870330842
611,TA,Z41A,33.2577,-92.803,0.00672645739910314,91.2214788251366,37.1137387979437,42.539386583063,22.6540060663751,27.077093471064,41.5103375947067,-124.317769069012,4.57440908105007,2.52,81.4931766961319
614,TX,FW01,32.684047,-96.87833,0.224043715846995,96.4772732240437,44.3125342337091,45.6783048698845,25.6722042412034,24.0830067976385,14.3928165207886,-121.17885078219,3.25907848409071,2.56,83.5405851918238
615,TX,FW02,32.95019,-97.34255,0.581395348837209,97.2717674418605,38.0281571293976,50.6324190943875,21.5880199857041,22.4844479905036,33.3962702008198,-116.224736557687,5.05534019158716,2.83,82.0479237371522
616,TX,FW03,33.039624,-98.065202,0.240437158469945,96.4765027322404,31.8727027054299,50.6812380828809,22.6260851076294,25.6860553335391,18.6381233799944,-116.175917569194,3.95730638156184,2.77,85.2404970668814
617,TX,FW04,32.84763,-96.92325,0.410077519379845,96.5250426356589,52.5215039218695,68.6044609842619,24.6061146907089,29.0898631198208,45.1255486229758,-98.2526946678127,4.45298061333343,3.44,73.7666071249559
618,TX,FW05,32.988669,-96.787081,0.611111111111111,86.0703580246914,41.7695724599381,56.0236699726109,27.93166933579,38.10390516682,53.3653910273962,-110.833485679464,4.27894249597187,2.97,72.3180320967213
619,TX,FW07,32.702466,-97.786092,0.631323814560197,96.4941156354662,32.7667085682782,47.7073028373564,21.6326043519288,30.1286559500185,42.8729695114628,-119.149852814718,3.80667001467128,2.66,80.5904350276435
620,TX,FW09,32.92282,-96.913922,3.58333333333333,98.2455436507936,50.9440792633718,70.6411285252826,25.0104426724473,34.3463671786342,53.4376085467539,-96.216027126792,5.3892920148433,3.57,65.0574949578402
621,TX,FW11,32.72273,-97.12787,0.207650273224044,96.4761420765027,44.2025613095213,57.8637140154922,24.396437093189,33.8866570182563,51.6042485304156,-108.993441636582,4.40058240683803,3.04,75.5244721353057
622,TX,FW12,32.499076,-97.148597,0.310294117647059,92.3703137254902,42.2519974037668,58.4344313062978,23.1248153923493,32.1357811294709,25.980893364548,-108.422724345777,4.51397816361314,3.07,79.1509773949276
627,US,AAM,42.3012,-83.6567,0.0136612021857923,99.9957859744991,39.3181368009112,53.1996860748937,19.659153357956,23.3317276783764,30.85413925339,-113.657469577181,5.05325828878062,2.92,83.4118403141565
628,US,ACSO,40.2319,-82.982,0.0792349726775956,99.9327386156648,29.2254184195649,49.3170856786296,19.0592815731717,23.3798338545504,32.0665743201753,-117.540069973445,4.62160165544652,2.76,85.9138651212135
629,US,AGMN,48.2977,-95.8619,0.0318761384335155,99.805704007286,26.0407422217226,35.5505416721402,18.5532428139332,22.1561549553222,27.9710531043263,-131.306613979934,5.2661019022162,2.32,89.1108522088156
